epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.9104,1.46321,3.96168,1.68356,0.007,0.74838,0.2491,0.16903,1.06297,4.37232,1.5306,0.00015554,0.00015554,0.00015554
2,171.941,1.16714,3.03321,1.45264,0.00504,0.98571,0.5311,0.38547,0.87332,3.97146,1.31101,0.000315811,0.000315811,0.000315811
3,252.313,1.09507,2.36689,1.34278,0.94209,0.28431,0.6594,0.42881,1.28553,3.65603,1.63182,0.000469482,0.000469482,0.000469482
4,332.085,1.08878,2.29284,1.32431,0.9462,0.336,0.61572,0.39407,1.16531,3.48273,1.54868,0.000616554,0.000616554,0.000616554
5,412.06,1.0648,2.11108,1.31959,0.78607,0.619,0.69454,0.4757,1.2695,3.22389,1.67492,0.000757027,0.000757027,0.000757027
6,493.178,1.09547,2.08598,1.36016,0.81712,0.6548,0.78102,0.52882,1.1774,3.23468,1.61981,0.0008909,0.0008909,0.0008909
7,573.594,1.00105,1.80655,1.24811,0.82387,0.52399,0.69317,0.47786,1.32059,3.01274,1.78009,0.000979013,0.000979013,0.000979013
8,652.896,1.06983,1.84758,1.32721,0.67029,0.67606,0.78842,0.525,1.12908,2.63073,1.56905,0.000957015,0.000957015,0.000957015
9,732.845,1.05733,1.7778,1.29292,0.85939,0.67,0.86405,0.58533,1.09319,3.45344,1.46997,0.000935018,0.000935018,0.000935018
10,812.902,1.03436,1.66124,1.30313,0.80474,0.77264,0.87249,0.60475,1.08466,2.58572,1.56379,0.00091302,0.00091302,0.00091302
11,893.086,0.99383,1.57682,1.28124,0.74706,0.81073,0.8769,0.59285,1.21724,2.36129,1.69558,0.000891022,0.000891022,0.000891022
12,973.646,0.9964,1.49418,1.27888,0.78922,0.80486,0.89596,0.62583,1.23917,2.08605,1.65145,0.000869024,0.000869024,0.000869024
13,1052.75,0.96545,1.5052,1.22884,0.77033,0.85292,0.89164,0.60452,1.18058,2.30132,1.59685,0.000847026,0.000847026,0.000847026
14,1132.89,1.00425,1.43322,1.26966,0.81251,0.73985,0.86294,0.58773,1.05331,2.30025,1.49107,0.000825029,0.000825029,0.000825029
15,1212.17,0.9336,1.34179,1.22969,0.91916,0.83335,0.93814,0.67825,1.20581,1.7635,1.61422,0.000803031,0.000803031,0.000803031
16,1293.48,0.96493,1.35436,1.24972,0.95664,0.92946,0.97603,0.68422,1.15027,1.58241,1.5989,0.000781033,0.000781033,0.000781033
17,1372.58,0.94011,1.27521,1.21711,0.85481,0.81787,0.9115,0.62807,1.07427,1.89824,1.47475,0.000759035,0.000759035,0.000759035
18,1452.44,0.97966,1.34565,1.22372,0.86751,0.82935,0.92036,0.65502,1.06637,1.65561,1.51243,0.000737037,0.000737037,0.000737037
19,1532.01,0.95981,1.26194,1.23525,0.88113,0.86792,0.93691,0.6689,1.06782,1.65493,1.51818,0.00071504,0.00071504,0.00071504
20,1611.62,0.91419,1.23283,1.18706,0.90289,0.83765,0.92052,0.63456,1.08864,1.63738,1.45128,0.000693042,0.000693042,0.000693042
21,1691.94,0.93283,1.1861,1.20308,0.91591,0.83176,0.93628,0.66677,1.06437,1.50793,1.4315,0.000671044,0.000671044,0.000671044
